-8.03751e-2, 1.00082e+0
1.79504e+0, 9.51758e-1
3.40255e+0, 9.10875e-1
5.19759e+0, 8.87163e-1
6.99263e+0, 8.46688e-1
8.81447e+0, 7.95993e-1
1.04756e+1, 8.02535e-1
1.22706e+1, 7.62061e-1
1.39853e+1, 7.26492e-1
1.57267e+1, 6.69665e-1
1.75754e+1, 6.69665e-1
1.93168e+1, 6.19379e-1
2.10315e+1, 6.31235e-1
2.27461e+1, 6.46770e-1
2.45680e+1, 5.77678e-1
2.63898e+1, 5.78087e-1
2.80777e+1, 5.48651e-1
2.98995e+1, 5.31071e-1
3.15606e+1, 5.36386e-1
3.33289e+1, 5.45380e-1
3.51239e+1, 4.78332e-1
3.68386e+1, 4.94685e-1
3.86336e+1, 4.97956e-1
4.04555e+1, 4.41537e-1
4.21969e+1, 4.21913e-1
4.39652e+1, 3.75307e-1
4.57602e+1, 4.16599e-1
4.75017e+1, 4.29681e-1
4.92163e+1, 3.89207e-1
5.09578e+1, 3.45053e-1
5.26993e+1, 3.90025e-1
5.44407e+1, 3.99428e-1
5.61554e+1, 3.80213e-1
5.79236e+1, 3.83483e-1
5.98259e+1, 3.58953e-1
6.15405e+1, 3.28700e-1
6.33356e+1, 3.27882e-1
6.50502e+1, 3.32788e-1
6.68453e+1, 3.47097e-1
6.86135e+1, 3.22976e-1
7.03550e+1, 2.70237e-1
7.21232e+1, 2.84546e-1
7.38915e+1, 3.06623e-1
7.56865e+1, 3.04579e-1
7.73744e+1, 2.98446e-1
7.92498e+1, 3.04988e-1
8.09109e+1, 2.78823e-1
8.27060e+1, 2.42028e-1
8.44742e+1, 3.00491e-1
8.61889e+1, 2.89861e-1
8.79839e+1, 2.60834e-1
